orderNumber,postingId,moment,isReturned,returnReason
49001475-0207,xxxxx1264656000,2026-02-28 13:32:17,0,
49001475-0209,xxxxx5731381000,2026-02-28 13:32:17,0,
49001475-0208,xxxxx6743643000,2026-02-28 13:32:17,0,
49001475-0206,xxxxx3097153000,2026-02-28 13:32:17,0,
85094710-0024,xxxxx4325244000,2026-02-28 12:32:45,0,
0182770667-0101,xxxxx9220450000,2026-02-28 11:49:20,0,
0102705589-0027,xxxxx2760920000,2026-02-28 11:25:17,1,Отказ клиента при передаче
0102705589-0027,xxxxx2760923000,2026-02-28 11:25:17,1,Отказ клиента при передаче
0102705589-0027,xxxxx2760919000,2026-02-28 11:25:17,0,
0102705589-0027,xxxxx2760921000,2026-02-28 11:25:17,0,
0102705589-0027,xxxxx3989930000,2026-02-28 11:25:17,0,
57688971-0140,xxxxx0431860000,2026-02-28 11:03:48,0,
57688971-0139,xxxxx3662730000,2026-02-28 11:03:48,0,
57688971-0136,xxxxx7645238000,2026-02-28 11:03:48,0,
57688971-0132,xxxxx8123327000,2026-02-28 11:03:47,1,Изменил решение о покупке/Товар не подошёл
57688971-0138,xxxxx7984546000,2026-02-28 11:03:47,0,
79679202-0054,xxxxx5500788000,2026-02-28 10:57:48,0,
79679202-0054,xxxxx0303589000,2026-02-28 10:57:48,0,
0104733671-0067,xxxxx6934751000,2026-02-28 10:47:26,0,
0104733671-0062,xxxxx6088406000,2026-02-28 10:47:26,0,
51727604-0398,xxxxx7699039000,2026-02-28 10:21:32,0,
51727604-0404,xxxxx5354310000,2026-02-28 10:21:32,0,
51727604-0399,xxxxx9152269000,2026-02-28 10:21:32,0,
51727604-0397,xxxxx1128597000,2026-02-28 10:21:32,0,
57280309-0296,xxxxx2608998000,2026-02-28 09:30:42,0,
57280309-0295,xxxxx6772406000,2026-02-28 09:30:42,0,
78116842-0260,xxxxx0500881000,2026-02-28 09:07:12,0,
78116842-0266,xxxxx0593610000,2026-02-28 09:07:11,1,Изменил решение о покупке/Товар не подошёл
0136999641-0061,xxxxx3261020000,2026-02-27 20:29:01,0,
0147970752-0084,xxxxx1300452000,2026-02-27 20:22:40,0,
15092165-0040,xxxxx6157346000,2026-02-27 20:00:04,0,
15092165-0041,xxxxx9625508000,2026-02-27 20:00:04,0,
0133625784-0008,xxxxx4820386000,2026-02-27 19:50:58,1,Изменил решение о покупке/Товар не подошёл
0133625784-0008,xxxxx4823305000,2026-02-27 19:50:58,1,Изменил решение о покупке/Товар не подошёл
0133625784-0008,xxxxx4823303000,2026-02-27 19:50:58,1,Изменил решение о покупке/Товар не подошёл
0133625784-0008,xxxxx4820460000,2026-02-27 19:50:58,1,Изменил решение о покупке/Товар не подошёл
0133625784-0008,xxxxx4820519000,2026-02-27 19:50:58,0,
0133625784-0008,xxxxx4823304000,2026-02-27 19:50:58,0,
64814703-0444,xxxxx6182250000,2026-02-27 19:47:46,0,
64814703-0444,xxxxx6182265000,2026-02-27 19:47:46,0,
64814703-0444,xxxxx6182264000,2026-02-27 19:47:46,0,
64814703-0444,xxxxx1114714000,2026-02-27 19:47:46,0,
64814703-0442,xxxxx6920996000,2026-02-27 19:47:46,0,
64814703-0439,xxxxx2417565000,2026-02-27 19:47:46,0,
64814703-0439,xxxxx0415674000,2026-02-27 19:47:46,0,
64814703-0439,xxxxx0415675000,2026-02-27 19:47:46,0,
64814703-0439,xxxxx0415675000,2026-02-27 19:47:46,0,
64814703-0439,xxxxx0415675000,2026-02-27 19:47:46,0,
64814703-0439,xxxxx0415675000,2026-02-27 19:47:46,0,
64814703-0439,xxxxx0415675000,2026-02-27 19:47:46,0,
64814703-0446,xxxxx1450554000,2026-02-27 19:47:46,0,
64814703-0446,xxxxx1448876000,2026-02-27 19:47:46,0,
64814703-0446,xxxxx1450556000,2026-02-27 19:47:46,0,
64814703-0446,xxxxx1450557000,2026-02-27 19:47:46,0,
64814703-0446,xxxxx1450553000,2026-02-27 19:47:46,0,
64814703-0446,xxxxx1450555000,2026-02-27 19:47:46,0,
64814703-0440,xxxxx5345063000,2026-02-27 19:47:46,0,
0152192517-0091,xxxxx7343736000,2026-02-27 19:38:15,0,
0152192517-0092,xxxxx8994088000,2026-02-27 19:38:13,0,
0148025230-0064,xxxxx8683605000,2026-02-27 19:11:51,0,
0148025230-0063,xxxxx3200190000,2026-02-27 19:11:51,0,
65379078-0066,xxxxx2335663000,2026-02-27 19:01:41,0,
0162713195-0003,xxxxx5233099000,2026-02-27 18:55:14,0,
51645603-0205,xxxxx2574736000,2026-02-27 18:36:57,0,
51645603-0205,xxxxx2573096000,2026-02-27 18:36:57,0,
51645603-0205,xxxxx2573094000,2026-02-27 18:36:57,0,
41282477-0058,xxxxx9066382000,2026-02-27 18:36:23,0,
41282477-0060,xxxxx6971414000,2026-02-27 18:36:23,0,
35614731-0059,xxxxx7457197000,2026-02-27 18:27:26,0,
46994294-0144,xxxxx5837161000,2026-02-27 18:26:55,0,
31894499-0563,xxxxx0813317000,2026-02-27 18:24:36,0,
31894499-0560,xxxxx8164902000,2026-02-27 18:24:36,0,
31894499-0561,xxxxx3458637000,2026-02-27 18:24:36,0,
31894499-0566,xxxxx2911583000,2026-02-27 18:24:36,0,
31894499-0555,xxxxx0898889000,2026-02-27 18:24:06,0,
40202359-0058,xxxxx4376110000,2026-02-27 18:14:36,0,
40202359-0058,xxxxx4378734000,2026-02-27 18:14:36,0,
0129036671-0155,xxxxx0841464000,2026-02-27 18:10:47,1,Изменил решение о покупке/Товар не подошёл
0129036671-0155,xxxxx0841465000,2026-02-27 18:10:47,1,Отказ клиента при передаче
0129036671-0154,xxxxx6634684000,2026-02-27 18:10:47,0,
0129036671-0153,xxxxx9260303000,2026-02-27 18:10:47,0,
0129036671-0153,xxxxx9260333000,2026-02-27 18:10:47,0,
0129036671-0153,xxxxx9260284000,2026-02-27 18:10:47,0,
0129036671-0153,xxxxx9260308000,2026-02-27 18:10:47,0,
0129036671-0153,xxxxx9257081000,2026-02-27 18:10:47,0,
0129036671-0152,xxxxx7229557000,2026-02-27 18:10:47,0,
0129036671-0152,xxxxx7229554000,2026-02-27 18:10:47,0,
0129036671-0152,xxxxx6868292000,2026-02-27 18:10:47,0,
0129036671-0152,xxxxx7229553000,2026-02-27 18:10:47,0,
0129036671-0152,xxxxx6868226000,2026-02-27 18:10:47,0,
0129036671-0152,xxxxx6868139000,2026-02-27 18:10:47,0,
0129036671-0152,xxxxx6868235000,2026-02-27 18:10:47,0,
0129036671-0152,xxxxx6868138000,2026-02-27 18:10:47,0,
0129036671-0152,xxxxx6868152000,2026-02-27 18:10:47,0,
0129036671-0152,xxxxx7229558000,2026-02-27 18:10:47,0,
0129036671-0152,xxxxx6868237000,2026-02-27 18:10:47,0,
0129036671-0152,xxxxx6868151000,2026-02-27 18:10:47,0,
0129036671-0152,xxxxx7229573000,2026-02-27 18:10:47,0,
0129036671-0152,xxxxx7229574000,2026-02-27 18:10:47,0,
0129036671-0152,xxxxx6868293000,2026-02-27 18:10:47,0,
0129036671-0152,xxxxx7229556000,2026-02-27 18:10:47,0,
0129036671-0157,xxxxx6491410000,2026-02-27 18:10:47,0,
0129036671-0156,xxxxx9525928000,2026-02-27 18:10:47,0,
0129036671-0156,xxxxx7789316000,2026-02-27 18:10:47,0,
0129036671-0156,xxxxx9525951000,2026-02-27 18:10:47,0,
0129036671-0156,xxxxx9525946000,2026-02-27 18:10:47,0,
0129036671-0156,xxxxx9525945000,2026-02-27 18:10:47,0,
0129036671-0156,xxxxx7789311000,2026-02-27 18:10:47,0,
0129036671-0156,xxxxx9525948000,2026-02-27 18:10:47,0,
0129036671-0156,xxxxx9525950000,2026-02-27 18:10:47,0,
0129036671-0156,xxxxx9525947000,2026-02-27 18:10:47,0,
0129036671-0156,xxxxx9525949000,2026-02-27 18:10:47,0,
0129036671-0156,xxxxx9525957000,2026-02-27 18:10:47,0,
0129036671-0156,xxxxx9525958000,2026-02-27 18:10:47,0,
51601267-0101,xxxxx1679144000,2026-02-27 18:07:39,0,
0212021534-0014,xxxxx0551174000,2026-02-27 17:36:39,0,
0212021534-0014,xxxxx0551175000,2026-02-27 17:36:39,0,
13625384-0198,xxxxx4342913000,2026-02-27 17:26:16,0,
13625384-0197,xxxxx1660054000,2026-02-27 17:26:16,0,
13625384-0199,xxxxx7308003000,2026-02-27 17:26:16,0,
43786109-0055,xxxxx5514463000,2026-02-27 17:03:08,0,
43786109-0055,xxxxx5514462000,2026-02-27 17:03:08,0,
43786109-0056,xxxxx3017515000,2026-02-27 17:00:56,0,
38334299-0429,xxxxx8476477000,2026-02-27 16:16:21,0,
0182770667-0097,xxxxx1361244000,2026-02-27 16:00:56,0,
0182770667-0102,xxxxx4705704000,2026-02-27 16:00:56,0,
0182770667-0101,xxxxx9220441000,2026-02-27 16:00:56,0,
0182770667-0104,xxxxx3050579000,2026-02-27 16:00:56,0,
0182770667-0103,xxxxx4710189000,2026-02-27 16:00:56,0,
35815293-0319,xxxxx3081498000,2026-02-27 15:59:01,0,
0146388996-0069,xxxxx7364160000,2026-02-27 15:55:24,0,
0146388996-0068,xxxxx3641407000,2026-02-27 15:55:23,1,Привезли другой товар
56986284-0110,xxxxx3525785000,2026-02-27 15:47:26,0,
47187045-0304,xxxxx1881840000,2026-02-27 15:19:51,0,
47187045-0302,xxxxx1900230000,2026-02-27 15:19:51,0,
47187045-0302,xxxxx3254650000,2026-02-27 15:19:51,0,
47187045-0301,xxxxx0759032000,2026-02-27 15:19:49,0,
47187045-0301,xxxxx0761058000,2026-02-27 15:19:49,0,
50585552-0681,xxxxx2686803000,2026-02-27 14:56:11,0,
50585552-0679,xxxxx0235668000,2026-02-27 14:56:11,0,
50585552-0623,xxxxx7177139000,2026-02-27 14:56:10,0,
50585552-0623,xxxxx7177139000,2026-02-27 14:56:10,0,
85094710-0023,xxxxx7456708000,2026-02-27 13:54:07,0,
85094710-0021,xxxxx2165836000,2026-02-27 13:54:07,0,
59315569-0013,xxxxx8891503000,2026-02-27 13:46:51,0,
0137196523-0174,xxxxx0941189000,2026-02-27 13:34:49,0,
0137196523-0172,xxxxx2707877000,2026-02-27 13:34:49,0,
0137196523-0179,xxxxx7011562000,2026-02-27 13:34:48,0,
0137196523-0177,xxxxx1588961000,2026-02-27 13:34:48,0,
0137196523-0181,xxxxx5920174000,2026-02-27 13:34:48,0,
78058100-0105,xxxxx2083952000,2026-02-27 13:34:27,0,
78058100-0118,xxxxx3524974000,2026-02-27 13:34:27,0,
78058100-0109,xxxxx5081526000,2026-02-27 13:34:27,0,
78058100-0113,xxxxx3621742000,2026-02-27 13:34:27,0,
78058100-0116,xxxxx9802406000,2026-02-27 13:34:27,0,
78058100-0119,xxxxx1620400000,2026-02-27 13:34:27,0,
78058100-0114,xxxxx9746002000,2026-02-27 13:34:27,1,Изменил решение о покупке/Товар не подошёл
78058100-0111,xxxxx7133677000,2026-02-27 13:34:27,0,
78058100-0110,xxxxx6600822000,2026-02-27 13:34:27,0,
78058100-0119,xxxxx1620399000,2026-02-27 13:34:27,0,
0137196523-0173,xxxxx0338721000,2026-02-27 13:31:08,0,
0137196523-0170,xxxxx7652514000,2026-02-27 13:31:08,0,
0137196523-0162,xxxxx5521925000,2026-02-27 13:31:08,0,
65733794-0301,xxxxx5559877000,2026-02-27 13:23:28,0,
91310989-0059,xxxxx9621095000,2026-02-27 12:39:42,0,
91310989-0060,xxxxx1611982000,2026-02-27 12:39:42,0,
48497124-0002,xxxxx0298847000,2026-02-27 12:06:33,0,
98510198-0046,xxxxx7219832000,2026-02-27 09:17:37,0,
0132709000-0088,xxxxx6352314000,2026-02-26 20:21:30,0,
0132709000-0089,xxxxx2569452000,2026-02-26 20:21:30,0,
0132709000-0092,xxxxx6418179000,2026-02-26 20:21:30,0,
0132709000-0073,xxxxx4423278000,2026-02-26 20:21:30,1,Изменил решение о покупке/Товар не подошёл
0132709000-0075,xxxxx1465256000,2026-02-26 20:21:30,1,Изменил решение о покупке/Товар не подошёл
0132709000-0075,xxxxx1464428000,2026-02-26 20:21:30,1,Изменил решение о покупке/Товар не подошёл
0132709000-0074,xxxxx2632556000,2026-02-26 20:21:30,1,Изменил решение о покупке/Товар не подошёл
0132709000-0079,xxxxx9048868000,2026-02-26 20:21:30,0,
0132709000-0078,xxxxx2848433000,2026-02-26 20:21:30,0,
15536946-0268,xxxxx5169530000,2026-02-26 19:17:44,0,
15536946-0268,xxxxx5169524000,2026-02-26 19:17:44,0,
50585552-0685,xxxxx8308374000,2026-02-26 19:17:04,0,
50585552-0683,xxxxx5159512000,2026-02-26 19:17:04,0,
65717119-0126,xxxxx3288751000,2026-02-26 19:10:41,0,
65717119-0126,xxxxx3288767000,2026-02-26 19:10:41,0,
0132568754-0082,xxxxx9919328000,2026-02-26 19:08:46,0,
0132568754-0081,xxxxx3922388000,2026-02-26 19:08:46,0,
0104415209-0048,xxxxx2241080000,2026-02-26 19:05:50,0,
36632695-0211,xxxxx9613270000,2026-02-26 19:05:44,0,
36632695-0209,xxxxx5900184000,2026-02-26 19:05:44,0,
36632695-0209,xxxxx5903952000,2026-02-26 19:05:44,0,
0122237308-0011,xxxxx0203882000,2026-02-26 19:05:33,1,Изменил решение о покупке/Товар не подошёл
0122237308-0011,xxxxx2620030000,2026-02-26 19:05:33,1,Изменил решение о покупке/Товар не подошёл
0122237308-0011,xxxxx1376878000,2026-02-26 19:05:33,0,
0178272651-0063,xxxxx0533843000,2026-02-26 18:54:47,0,
0178272651-0065,xxxxx0378164000,2026-02-26 18:54:47,0,
81707356-0075,xxxxx1103182000,2026-02-26 18:40:52,0,
81707356-0076,xxxxx9237276000,2026-02-26 18:40:52,0,
81707356-0074,xxxxx9722403000,2026-02-26 18:40:52,0,
59531974-0088,xxxxx1836788000,2026-02-26 18:26:36,0,
56460891-0058,xxxxx8143971000,2026-02-26 18:14:08,0,
56460891-0059,xxxxx3979879000,2026-02-26 18:11:55,0,
56460891-0061,xxxxx8608317000,2026-02-26 18:11:55,0,
43033901-0098,xxxxx7637616000,2026-02-26 18:06:31,0,
43033901-0103,xxxxx4250579000,2026-02-26 18:06:31,0,
43033901-0096,xxxxx3420908000,2026-02-26 18:06:31,0,
43033901-0100,xxxxx9236875000,2026-02-26 18:06:31,0,
43033901-0100,xxxxx9236875000,2026-02-26 18:06:31,0,
0145135199-0191,xxxxx1124131000,2026-02-26 17:43:23,0,
0118238803-0169,xxxxx2969875000,2026-02-26 17:43:15,0,
76160766-0982,xxxxx9698629000,2026-02-26 17:38:04,0,
76160766-0982,xxxxx9698635000,2026-02-26 17:38:04,0,
55046831-0145,xxxxx2869688000,2026-02-26 17:15:13,0,
55046831-0146,xxxxx2872609000,2026-02-26 17:15:13,1,Изменил решение о покупке/Товар не подошёл
55046831-0144,xxxxx0118369000,2026-02-26 17:15:13,0,
92584768-0054,xxxxx7780314000,2026-02-26 16:54:12,0,
91895796-0164,xxxxx1671021000,2026-02-26 16:12:56,0,
0140440224-0019,xxxxx5175169000,2026-02-26 14:10:54,0,
0140440224-0020,xxxxx1970250000,2026-02-26 14:10:54,1,Изменил решение о покупке/Товар не подошёл
0140076359-0191,xxxxx3334139000,2026-02-26 13:11:22,0,
0140076359-0194,xxxxx2716997000,2026-02-26 13:11:22,0,
0122445103-0014,xxxxx3494876000,2026-02-26 11:39:14,0,
0122445103-0014,xxxxx3494877000,2026-02-26 11:39:14,0,
0122445103-0013,xxxxx9973414000,2026-02-26 11:39:14,0,
0122445103-0017,xxxxx4574780000,2026-02-26 11:39:13,0,
0122445103-0015,xxxxx8421329000,2026-02-26 11:39:13,0,
0183059106-0041,xxxxx3156794000,2026-02-26 11:29:19,0,
78116842-0251,xxxxx4318406000,2026-02-25 21:23:02,1,Изменил решение о покупке/Товар не подошёл
78116842-0251,xxxxx4318965000,2026-02-25 21:23:02,1,Изменил решение о покупке/Товар не подошёл
78116842-0251,xxxxx4318956000,2026-02-25 21:23:02,1,Изменил решение о покупке/Товар не подошёл
78116842-0251,xxxxx4318969000,2026-02-25 21:23:02,0,
78116842-0251,xxxxx4318412000,2026-02-25 21:23:02,0,
78116842-0248,xxxxx7032878000,2026-02-25 21:23:01,0,
78116842-0252,xxxxx6618682000,2026-02-25 21:23:01,1,Изменил решение о покупке/Товар не подошёл
78116842-0247,xxxxx7222379000,2026-02-25 21:23:01,0,
36632695-0208,xxxxx6607416000,2026-02-25 20:47:22,0,
0133750203-0116,xxxxx7300302000,2026-02-25 20:38:30,1,Изменил решение о покупке/Товар не подошёл
15092165-0037,xxxxx9880803000,2026-02-25 20:01:49,0,
15092165-0038,xxxxx4787596000,2026-02-25 20:01:49,0,
15092165-0039,xxxxx4809281000,2026-02-25 20:01:49,0,
15092165-0036,xxxxx7557806000,2026-02-25 20:01:49,0,
45474454-0361,xxxxx6486119000,2026-02-25 19:57:49,0,
83712863-0139,xxxxx4632289000,2026-02-25 19:29:31,0,
83712863-0139,xxxxx4630301000,2026-02-25 19:29:31,0,
38586460-0134,xxxxx6258886000,2026-02-25 19:27:16,0,
38586460-0133,xxxxx2049968000,2026-02-25 19:27:16,0,
50934074-0052,xxxxx6083685000,2026-02-25 19:18:53,0,
50934074-0053,xxxxx5690075000,2026-02-25 19:18:53,0,
34194706-0319,xxxxx3850804000,2026-02-25 18:52:19,0,
0182770667-0094,xxxxx2988209000,2026-02-25 18:26:40,0,
0182770667-0100,xxxxx6047600000,2026-02-25 18:26:39,0,
0182770667-0098,xxxxx1708324000,2026-02-25 18:26:39,0,
0182770667-0093,xxxxx4580411000,2026-02-25 18:26:39,0,
76160766-0973,xxxxx7831848000,2026-02-25 18:23:37,0,
76160766-0977,xxxxx6514811000,2026-02-25 18:23:37,0,
76160766-0963,xxxxx6750222000,2026-02-25 18:23:37,0,
76160766-0979,xxxxx6561490000,2026-02-25 18:23:37,1,Изменил решение о покупке/Товар не подошёл
76160766-0971,xxxxx2501471000,2026-02-25 18:23:37,0,
76160766-0981,xxxxx5834974000,2026-02-25 18:23:37,0,
0141524962-0026,xxxxx8800555000,2026-02-25 18:00:44,0,
62457611-0360,xxxxx7547485000,2026-02-25 17:58:47,0,
62457611-0366,xxxxx4556243000,2026-02-25 17:58:47,0,
31210898-0382,xxxxx2346996000,2026-02-25 17:47:50,0,
31210898-0379,xxxxx8198030000,2026-02-25 17:47:50,0,
84518444-0121,xxxxx0479788000,2026-02-25 17:47:19,0,
0145014543-0174,xxxxx7276258000,2026-02-25 17:40:22,0,
0212021534-0013,xxxxx2178056000,2026-02-25 17:24:17,0,
0212021534-0013,xxxxx2178056000,2026-02-25 17:24:17,0,
0212021534-0013,xxxxx2178056000,2026-02-25 17:24:17,0,
0212021534-0013,xxxxx2178056000,2026-02-25 17:24:17,0,
0212021534-0013,xxxxx2178056000,2026-02-25 17:24:17,0,
0212021534-0013,xxxxx2178056000,2026-02-25 17:24:17,0,
0212021534-0013,xxxxx2178066000,2026-02-25 17:24:17,0,
0212021534-0013,xxxxx9890048000,2026-02-25 17:24:17,0,
0212021534-0013,xxxxx2178044000,2026-02-25 17:24:17,0,
0212021534-0013,xxxxx2178044000,2026-02-25 17:24:17,0,
0212021534-0013,xxxxx2178044000,2026-02-25 17:24:17,0,
0212021534-0013,xxxxx9890038000,2026-02-25 17:24:17,0,
0212021534-0014,xxxxx0551172000,2026-02-25 17:24:17,0,
82852658-0096,xxxxx7665980000,2026-02-25 17:17:45,0,
82852658-0093,xxxxx9514629000,2026-02-25 17:17:45,0,
51275634-0584,xxxxx4233699000,2026-02-25 17:15:38,0,
51275634-0584,xxxxx4233636000,2026-02-25 17:15:38,0,
51275634-0584,xxxxx4233656000,2026-02-25 17:15:38,0,
51275634-0584,xxxxx4233634000,2026-02-25 17:15:38,0,
51275634-0584,xxxxx4233604000,2026-02-25 17:15:38,0,
51275634-0584,xxxxx4233704000,2026-02-25 17:15:38,0,
51275634-0584,xxxxx4233598000,2026-02-25 17:15:38,0,
51275634-0584,xxxxx4233609000,2026-02-25 17:15:38,0,
51275634-0584,xxxxx4233683000,2026-02-25 17:15:38,0,
51275634-0584,xxxxx4233617000,2026-02-25 17:15:38,0,
51275634-0584,xxxxx4233626000,2026-02-25 17:15:38,0,
51275634-0584,xxxxx4233589000,2026-02-25 17:15:38,0,
51275634-0584,xxxxx4233630000,2026-02-25 17:15:38,0,
51275634-0584,xxxxx4233600000,2026-02-25 17:15:38,0,
51275634-0584,xxxxx4233627000,2026-02-25 17:15:38,0,
51275634-0584,xxxxx4233665000,2026-02-25 17:15:38,0,
51275634-0584,xxxxx4233601000,2026-02-25 17:15:38,0,
51275634-0584,xxxxx4233709000,2026-02-25 17:15:38,0,
51275634-0584,xxxxx4233625000,2026-02-25 17:15:38,0,
51275634-0584,xxxxx4233667000,2026-02-25 17:15:38,0,
51275634-0584,xxxxx4233593000,2026-02-25 17:15:38,0,
51275634-0584,xxxxx4233752000,2026-02-25 17:15:38,0,
51275634-0584,xxxxx4233646000,2026-02-25 17:15:38,0,
51275634-0584,xxxxx4233671000,2026-02-25 17:15:38,0,
51275634-0584,xxxxx4233651000,2026-02-25 17:15:38,0,
51275634-0584,xxxxx4233711000,2026-02-25 17:15:38,0,
51275634-0584,xxxxx4233710000,2026-02-25 17:15:38,0,
51275634-0584,xxxxx4233708000,2026-02-25 17:15:38,0,
51275634-0584,xxxxx4233639000,2026-02-25 17:15:38,0,
51275634-0584,xxxxx4233754000,2026-02-25 17:15:38,0,
51275634-0584,xxxxx4233673000,2026-02-25 17:15:38,0,
51275634-0584,xxxxx4233674000,2026-02-25 17:15:38,0,
